name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	75	75	0	30	30	-1	180	180	-1	68	68	-1	49	49	-1	160	160	-1	180	180	-1	t < 800 ms	75	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
Login	25	25	0	12200	12200	-1	12290	12290	-1	12212	12212	-1	0	0	-1	12250	12250	-1	12290	12290	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	25	100	failed	0	0	0	0	-1
Login / Login page	25	25	0	30	30	-1	50	50	-1	38	38	-1	8	8	-1	50	50	-1	50	50	-1	t < 800 ms	25	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Login / Submit login	25	25	0	120	120	-1	180	180	-1	135	135	-1	22	22	-1	180	180	-1	180	180	-1	t < 800 ms	25	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token	25	25	0	30	30	-1	90	90	-1	40	40	-1	14	14	-1	70	70	-1	90	90	-1	t < 800 ms	25	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
Token / Token exchange	25	25	0	30	30	-1	40	40	-1	30	30	-1	5	5	-1	30	30	-1	40	40	-1	t < 800 ms	25	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
